CENTRE_CODE,SCHOOL,LOCALITY,YR3ENR,YR5ENR,YR7ENR,YR9ENR,YR3READMEAN,YR3WRITMEAN,YR3SPELMEAN,YR3GPMEAN,YR3NMCYMEAN,YR5READMEAN,YR5WRITMEAN,YR5SPELMEAN,YR5GPMEAN,YR5NMCYMEAN,YR7READMEAN,YR7WRITMEAN,YR7SPELMEAN,YR7GPMEAN,YR7NMCYMEAN,YR9READMEAN,YR9WRITMEAN,YR9SPELMEAN,YR9GPMEAN,YR9NMCYMEAN,YR3READPCTNMS,YR3WRITPCTNMS,YR3SPELPCTNMS,YR3GPPCTNMS,YR3NMCYPCTNMS,YR5READPCTNMS,YR5WRITPCTNMS,YR5SPELPCTNMS,YR5GPPCTNMS,YR5NMCYPCTNMS,YR7READPCTNMS,YR7WRITPCTNMS,YR7SPELPCTNMS,YR7GPPCTNMS,YR7NMCYPCTNMS,YR9READPCTNMS,YR9WRITPCTNMS,YR9SPELPCTNMS,YR9GPPCTNMS,YR9NMCYPCTNMS
"318","Dalveen State School","Dalveen","2","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"5482","Darling Downs Christian School","Toowoomba","14","13","18","23","431","361","346","381","357","505","453","466","508","465","535","491","516","514","522","571","534","572","568","580","100%","92%","92%","75%","92%","100%","91%","91%","91%","100%","100%","100%","85%","100%","79%","100%","72%","83%","94%","94%"
"1900","Darling Heights State School","Toowoomba","93","82","--","--","438","417","422","461","395","472","466","506","512","478","--","--","--","--","--","--","--","--","--","--","100%","99%","100%","100%","96%","94%","94%","100%","93%","95%","--","--","--","--","--","--","--","--","--","--"
"3025","Darling Point Special School","Manly","10","3","8","7","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"520","Darlington State School","Darlington","3","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1520","Darra State School","Darra","25","19","--","--","372","354","352","375","358","518","468","511","500","495","--","--","--","--","--","--","--","--","--","--","96%","84%","84%","88%","84%","95%","84%","95%","89%","100%","--","--","--","--","--","--","--","--","--","--"
"1950","Dauan Island State School","Via Thursday Island","5","7","--","--","243","332","290","292","271","409","374","451","380","371","--","--","--","--","--","--","--","--","--","--","60%","100%","60%","80%","40%","86%","43%","86%","43%","57%","--","--","--","--","--","--","--","--","--","--"
"191","Dayboro State School","Dayboro","67","50","--","--","414","391","379","404","376","492","454","476","478","474","--","--","--","--","--","--","--","--","--","--","97%","100%","94%","96%","98%","94%","88%","96%","94%","96%","--","--","--","--","--","--","--","--","--","--"
"5637","Deception Bay Flexible Learning Centre","Deception Bay","--","--","--","12","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^"
"1884","Deception Bay North State School","Deception Bay","68","59","--","--","370","322","350","378","348","489","458","477","482","483","--","--","--","--","--","--","--","--","--","--","81%","81%","80%","90%","89%","94%","89%","90%","88%","98%","--","--","--","--","--","--","--","--","--","--"
"2107","Deception Bay State High School","Deception Bay","--","--","128","135","--","--","--","--","--","--","--","--","--","--","494","450","505","485","493","530","491","552","526","545","--","--","--","--","--","--","--","--","--","--","86%","63%","86%","77%","97%","81%","63%","85%","73%","94%"
"237","Deception Bay State School","Deception Bay","49","46","--","--","371","359","368","369","347","475","432","481","455","451","--","--","--","--","--","--","--","--","--","--","78%","88%","78%","80%","83%","86%","72%","89%","81%","87%","--","--","--","--","--","--","--","--","--","--"
"683","Delaneys Creek State School","D'Aguilar","22","29","--","--","382","383","374","417","378","466","428","480","472","453","--","--","--","--","--","--","--","--","--","--","86%","100%","100%","86%","95%","93%","79%","97%","90%","90%","--","--","--","--","--","--","--","--","--","--"
"392","Denison State School","Emerald","74","54","--","--","435","418","406","453","399","480","491","485","495","484","--","--","--","--","--","--","--","--","--","--","100%","99%","100%","100%","99%","96%","96%","92%","96%","100%","--","--","--","--","--","--","--","--","--","--"
"837","Depot Hill State School","Rockhampton","6","4","--","--","371","342","334","370","333","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","83%","83%","67%","83%","83%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1226","Dimbulah State School","Dimbulah","16","7","25","23","423","410","405","442","412","498","486","472","499","481","524","458","502","499","538","564","527","565","548","592","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","79%","83%","88%","100%","87%","55%","87%","83%","100%"
"266","Dingo State School","Dingo","7","2","--","--","433","442","404","467","427","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1001","Dirranbandi State School","Dirranbandi","16","11","9","3","375","422","369","417","353","476","444","486","470","457","502","481","533","524","500","^","^","^","^","^","88%","100%","88%","94%","81%","100%","82%","100%","91%","91%","100%","75%","100%","100%","100%","^","^","^","^","^"
"9729","Discovery Christian College","Agnes Water","8","13","20","14","401","388","418","443","383","489","469","477","485","486","560","531","535","558","558","591","564","578","583","594","100%","86%","86%","100%","86%","100%","100%","100%","92%","91%","100%","100%","89%","100%","100%","100%","93%","93%","100%","100%"
"5892","Djarragun College","Gordonvale","13","18","25","22","325","294","293","279","258","382","361","407","372","374","439","362","458","413","453","485","400","505","464","514","67%","62%","54%","54%","36%","56%","47%","67%","40%","54%","61%","32%","60%","45%","83%","63%","12%","65%","41%","94%"
"330","Doomadgee State School","Doomadgee","34","41","29","18","295","215","236","237","268","349","282","361","279","356","423","231","357","362","419","^","^","^","^","454","56%","22%","22%","39%","53%","43%","7%","39%","0%","33%","67%","0%","8%","8%","55%","^","^","^","^","40%"
"5395","Downlands College","Toowoomba","--","--","95","129","--","--","--","--","--","--","--","--","--","--","552","509","543","548","554","585","552","586","571","603","--","--","--","--","--","--","--","--","--","--","96%","89%","96%","93%","99%","92%","81%","91%","90%","98%"
"31","Drayton State School","Drayton","52","44","--","--","412","414","382","414","380","485","447","484","481","472","--","--","--","--","--","--","--","--","--","--","98%","100%","96%","94%","94%","97%","93%","95%","95%","100%","--","--","--","--","--","--","--","--","--","--"
"889","Drillham State School","Drillham","4","7","--","--","^","^","^","^","^","494","513","515","539","546","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","86%","86%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"342","Duaringa State School","Duaringa","2","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1170","Dulacca State School","Dulacca","3","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1779","Dundula State School","Bakers Creek Via Mackay","6","3","--","--","398","406","362","457","378","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"934","Dunkeld State School","Dunkeld Via Mitchell","1","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"784","Dunwich State School","Dunwich Stradbroke Island","23","20","--","--","408","418","378","423","386","505","483","513","522","495","--","--","--","--","--","--","--","--","--","--","95%","100%","86%","95%","95%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"959","Durack State School","Durack","76","69","--","--","389","386","406","417","365","455","454","490","473","463","--","--","--","--","--","--","--","--","--","--","89%","96%","86%","89%","93%","97%","85%","91%","86%","97%","--","--","--","--","--","--","--","--","--","--"
"1667","Durong South State School","Durong","3","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"506","Dutton Park State School","Dutton Park","35","46","--","--","437","383","403","447","408","526","470","500","533","511","--","--","--","--","--","--","--","--","--","--","88%","94%","94%","94%","100%","93%","86%","84%","91%","93%","--","--","--","--","--","--","--","--","--","--"
"2156","Dysart State High School","Dysart","--","--","27","28","--","--","--","--","--","--","--","--","--","--","510","499","523","517","502","553","510","560","571","562","--","--","--","--","--","--","--","--","--","--","92%","88%","92%","85%","96%","96%","72%","92%","92%","96%"
"97","Dysart State School","Dysart","49","33","--","--","392","407","389","406","369","456","472","480","470","455","--","--","--","--","--","--","--","--","--","--","98%","98%","98%","98%","94%","94%","94%","91%","91%","91%","--","--","--","--","--","--","--","--","--","--"
"726","Eagle Junction State School","Clayfield","119","111","--","--","463","457","449","507","433","545","520","530","556","537","--","--","--","--","--","--","--","--","--","--","95%","97%","96%","97%","97%","96%","97%","99%","96%","97%","--","--","--","--","--","--","--","--","--","--"
"1876","Eagleby South State School","Eagleby","52","39","--","--","391","388","387","400","364","454","447","460","448","450","--","--","--","--","--","--","--","--","--","--","97%","100%","97%","100%","94%","97%","100%","93%","90%","96%","--","--","--","--","--","--","--","--","--","--"
"1974","Eagleby State School","Eagleby","77","58","--","--","392","366","401","397","367","459","432","461","450","458","--","--","--","--","--","--","--","--","--","--","94%","95%","98%","97%","91%","92%","80%","90%","90%","94%","--","--","--","--","--","--","--","--","--","--"
"5180","Earnshaw State College","Banyo","56","58","60","67","385","361","378","390","361","484","462","490","478","493","522","477","533","514","513","552","533","583","567","572","89%","93%","85%","89%","91%","93%","85%","87%","89%","96%","93%","76%","88%","80%","89%","88%","81%","90%","85%","98%"
"877","East Brisbane State School","East Brisbane","29","28","--","--","482","429","445","491","448","546","477","511","552","521","--","--","--","--","--","--","--","--","--","--","96%","92%","93%","96%","93%","100%","96%","96%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"593","Eatons Hill State School","Eatons Hill","154","143","--","--","444","437","411","454","410","521","504","509","537","509","--","--","--","--","--","--","--","--","--","--","98%","99%","97%","95%","98%","98%","99%","96%","99%","100%","--","--","--","--","--","--","--","--","--","--"
"301","Edens Landing State School","Edens Landing","115","96","--","--","387","369","376","399","367","469","458","492","476","470","--","--","--","--","--","--","--","--","--","--","90%","92%","90%","91%","93%","91%","90%","95%","92%","99%","--","--","--","--","--","--","--","--","--","--"
"235","Edge Hill State School","Edge Hill","156","135","--","--","428","421","415","456","397","504","488","507","518","489","--","--","--","--","--","--","--","--","--","--","95%","95%","95%","98%","95%","95%","92%","95%","97%","98%","--","--","--","--","--","--","--","--","--","--"
"581","Eidsvold State School","Eidsvold","10","4","5","6","326","382","355","359","335","^","^","^","^","^","^","^","^","^","^","514","521","553","511","557","70%","100%","100%","100%","100%","^","^","^","^","^","^","^","^","^","^","83%","83%","100%","67%","100%"
"34","Eight Mile Plains State School","Eight Mile Plains","31","46","--","--","355","356","344","358","354","484","463","480","483","480","--","--","--","--","--","--","--","--","--","--","87%","84%","84%","81%","79%","93%","91%","91%","89%","89%","--","--","--","--","--","--","--","--","--","--"
"545","Eimeo Road State School","Mackay","141","108","--","--","409","396","386","440","397","476","458","474","495","481","--","--","--","--","--","--","--","--","--","--","95%","98%","96%","97%","96%","97%","92%","91%","95%","95%","--","--","--","--","--","--","--","--","--","--"
"1758","El Arish State School","El Arish","10","6","--","--","500","453","453","500","470","573","472","528","582","558","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"2183","Elanora State High School","Elanora","--","--","167","154","--","--","--","--","--","--","--","--","--","--","543","491","533","529","532","560","520","564","553","575","--","--","--","--","--","--","--","--","--","--","91%","80%","89%","90%","93%","92%","71%","86%","86%","94%"
"1923","Elanora State School","Elanora","149","181","--","--","454","434","420","472","431","513","503","500","517","508","--","--","--","--","--","--","--","--","--","--","99%","99%","99%","99%","100%","98%","98%","97%","95%","100%","--","--","--","--","--","--","--","--","--","--"
"953","Elimbah State School","Elimbah","60","64","--","--","421","405","391","426","380","484","433","462","483","468","--","--","--","--","--","--","--","--","--","--","96%","94%","93%","96%","93%","90%","75%","89%","93%","95%","--","--","--","--","--","--","--","--","--","--"
"1347","Elliott Heads State School","Elliott Heads Bundaberg","16","10","--","--","406","394","382","406","386","440","441","453","455","454","--","--","--","--","--","--","--","--","--","--","92%","100%","100%","100%","92%","88%","88%","88%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"2288","Emerald Christian College","Emerald","27","20","12","12","416","423","392","414","385","470","470","460","466","463","541","494","557","537","523","575","521","542","561","592","96%","100%","100%","100%","93%","95%","95%","100%","85%","100%","82%","73%","73%","82%","82%","100%","64%","91%","91%","82%"
"1904","Emerald North State School","Emerald","41","37","--","--","371","368","367","369","355","451","412","470","446","450","--","--","--","--","--","--","--","--","--","--","80%","85%","78%","78%","77%","88%","53%","85%","74%","91%","--","--","--","--","--","--","--","--","--","--"
"2122","Emerald State High School","Emerald","--","--","141","147","--","--","--","--","--","--","--","--","--","--","531","495","527","528","529","558","533","572","553","570","--","--","--","--","--","--","--","--","--","--","97%","89%","93%","86%","100%","88%","80%","93%","87%","98%"
"354","Emerald State School","Emerald","47","54","--","--","385","396","366","392","358","492","477","494","504","476","--","--","--","--","--","--","--","--","--","--","87%","100%","91%","89%","96%","94%","96%","93%","91%","96%","--","--","--","--","--","--","--","--","--","--"
"367","Emmanuel Catholic Primary School","Mount Pleasant","85","76","--","--","401","410","407","424","400","494","473","489","507","501","--","--","--","--","--","--","--","--","--","--","96%","99%","94%","96%","98%","96%","94%","96%","97%","99%","--","--","--","--","--","--","--","--","--","--"
"5814","Emmanuel College, Carrara","Carrara","82","113","138","146","460","461","428","475","434","534","517","507","532","519","584","576","578","597","581","628","619","623","639","645","100%","100%","99%","99%","98%","99%","99%","100%","99%","100%","100%","98%","99%","99%","100%","98%","98%","97%","96%","99%"
"2358","Emmaus College","Jimboomba","87","90","159","127","432","452","393","449","416","500","498","496","504","484","556","505","548","558","529","562","520","553","550","563","100%","100%","99%","98%","100%","97%","98%","98%","95%","97%","100%","92%","94%","97%","99%","94%","76%","88%","88%","97%"
"5408","Emmaus College (Rockhampton)","North Rockhampton","--","--","242","249","--","--","--","--","--","--","--","--","--","--","534","496","541","535","527","565","529","578","565","575","--","--","--","--","--","--","--","--","--","--","99%","86%","95%","89%","98%","96%","76%","91%","92%","98%"
"154","Emu Creek State School","East Greenmount","--","1","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"473","Emu Park State School","Emu Park","80","77","--","--","387","382","354","406","382","478","455","455","472","460","--","--","--","--","--","--","--","--","--","--","91%","92%","91%","99%","95%","96%","85%","88%","88%","92%","--","--","--","--","--","--","--","--","--","--"
"7107","Endeavour Christian College","Cooktown","14","13","11","8","354","372","331","334","349","447","458","441","441","454","538","506","540","526","532","596","534","608","553","556","79%","86%","93%","79%","93%","62%","85%","77%","69%","77%","91%","91%","82%","82%","89%","63%","38%","75%","75%","75%"
"35","Enoggera State School","Enoggera","39","25","--","--","474","459","436","505","453","523","454","490","524","516","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","96%","88%","92%","92%","100%","--","--","--","--","--","--","--","--","--","--"
"199","Esk State School","Esk","21","23","--","--","351","301","341","317","373","491","442","474","502","471","--","--","--","--","--","--","--","--","--","--","75%","67%","71%","57%","85%","87%","87%","96%","91%","96%","--","--","--","--","--","--","--","--","--","--"
"731","Eton North State School","North Eton","3","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"310","Eton State School","Eton","4","11","--","--","^","^","^","^","^","500","468","531","505","515","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","100%","90%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"682","Eudlo State School","Eudlo","6","14","--","--","^","387","438","404","328","458","462","478","474","470","--","--","--","--","--","--","--","--","--","--","^","100%","100%","60%","80%","93%","93%","93%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"222","Eulo State School","Eulo","--","1","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"698","Eumundi State School","Eumundi","75","94","--","--","454","440","433","490","427","530","501","516","562","528","--","--","--","--","--","--","--","--","--","--","99%","100%","100%","96%","99%","100%","99%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"1353","Eungella State School","Dalrymple Heights Via Mackay","4","4","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"2061","Everton Park State High School","Everton Park","--","--","44","29","--","--","--","--","--","--","--","--","--","--","524","488","518","523","507","568","491","572","545","575","--","--","--","--","--","--","--","--","--","--","95%","79%","85%","92%","94%","86%","74%","96%","83%","100%"
"1185","Everton Park State School","Everton Park","84","54","--","--","423","417","414","462","400","501","469","483","499","484","--","--","--","--","--","--","--","--","--","--","95%","99%","98%","98%","98%","100%","87%","94%","94%","96%","--","--","--","--","--","--","--","--","--","--"
"5473","Fairholme College","Toowoomba","26","27","69","90","516","474","469","525","476","529","515","517","536","511","592","566","582","599","581","614","606","616","637","622","100%","100%","100%","100%","100%","96%","96%","96%","96%","96%","100%","100%","98%","98%","100%","99%","99%","98%","100%","100%"
"1751","Fairview Heights State School","Toowoomba","97","56","--","--","400","372","382","428","370","469","459","458","473","458","--","--","--","--","--","--","--","--","--","--","84%","83%","80%","85%","89%","93%","87%","84%","85%","96%","--","--","--","--","--","--","--","--","--","--"
"736","Faith Baptist Christian School (Gladstone)","Burua","6","3","5","1","396","424","385","405","355","^","^","^","^","^","550","545","539","586","561","^","^","^","^","^","83%","83%","83%","83%","67%","^","^","^","^","^","100%","100%","100%","100%","100%","^","^","^","^","^"
"8013","Faith Christian School of Distance Education","Karawatha","38","49","48","45","^","^","^","^","419","474","463","465","516","462","591","524","513","576","547","630","522","559","602","604","^","^","^","^","100%","100%","88%","100%","100%","100%","100%","100%","92%","100%","100%","100%","88%","100%","100%","100%"
"2222","Faith Lutheran College","Plainland","--","--","126","133","--","--","--","--","--","--","--","--","--","--","532","494","527","528","519","566","537","557","552","564","--","--","--","--","--","--","--","--","--","--","98%","89%","91%","93%","97%","88%","75%","82%","85%","95%"
"5312","Faith Lutheran College - Redlands","Victoria Point","--","--","86","74","--","--","--","--","--","--","--","--","--","--","551","509","534","537","538","565","547","563","553","584","--","--","--","--","--","--","--","--","--","--","99%","93%","91%","93%","100%","98%","88%","90%","87%","100%"
"5763","Faith Lutheran College - Redlands (Link Road Campus)","Victoria Point","70","82","--","--","459","445","424","481","414","504","501","498","516","491","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","96%","100%","99%","99%","97%","99%","--","--","--","--","--","--","--","--","--","--"
"1172","Farleigh State School","Farleigh","1","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"1027","Farnborough State School","Farnborough Via Yeppoon","35","29","--","--","413","413","405","458","393","498","475","494","513","492","--","--","--","--","--","--","--","--","--","--","97%","97%","100%","100%","100%","100%","86%","93%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"1205","Federal State School","Pomona","17","3","--","--","446","449","450","484","425","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"810","Feluga State School","Feluga Via Tully","4","3","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"170","Fernvale State School","Fernvale","62","87","--","--","429","396","398","449","385","513","471","493","511","493","--","--","--","--","--","--","--","--","--","--","97%","92%","93%","97%","95%","96%","91%","96%","95%","98%","--","--","--","--","--","--","--","--","--","--"
"2148","Ferny Grove State High School","Ferny Grove","--","--","346","297","--","--","--","--","--","--","--","--","--","--","553","512","546","544","547","582","557","591","579","596","--","--","--","--","--","--","--","--","--","--","98%","89%","95%","94%","99%","94%","85%","94%","92%","96%"
"227","Ferny Grove State School","Ferny Grove","131","129","--","--","430","407","399","440","398","511","464","496","515","489","--","--","--","--","--","--","--","--","--","--","93%","95%","92%","93%","91%","94%","87%","90%","92%","96%","--","--","--","--","--","--","--","--","--","--"
"250","Ferny Hills State School","Ferny Hills","56","40","--","--","403","394","365","405","382","485","429","471","485","471","--","--","--","--","--","--","--","--","--","--","91%","94%","91%","93%","91%","98%","77%","88%","93%","95%","--","--","--","--","--","--","--","--","--","--"
"36","Fig Tree Pocket State School","Fig Tree Pocket","60","69","--","--","505","476","466","508","462","562","523","545","590","547","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","98%","98%","99%","100%","100%","99%","100%","--","--","--","--","--","--","--","--","--","--"
"1175","Finch Hatton State School","Finch Hatton","7","7","--","--","436","438","406","511","419","422","427","382","420","409","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","83%","67%","67%","67%","86%","--","--","--","--","--","--","--","--","--","--"
"1883","Fitzgerald State School","Mackay North","113","111","--","--","411","423","398","434","394","491","461","478","490","481","--","--","--","--","--","--","--","--","--","--","94%","98%","97%","94%","96%","99%","89%","91%","91%","97%","--","--","--","--","--","--","--","--","--","--"
"489","Flagstone Creek State School","Flagstone Creek Via Helidon","8","7","--","--","406","400","351","434","401","511","452","426","514","495","--","--","--","--","--","--","--","--","--","--","83%","100%","100%","100%","100%","100%","100%","86%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"2323","Flagstone State Community College","Flagstone","--","--","137","153","--","--","--","--","--","--","--","--","--","--","508","476","506","499","501","545","481","557","540","554","--","--","--","--","--","--","--","--","--","--","94%","83%","80%","83%","94%","87%","50%","83%","84%","96%"
"471","Flagstone State School","Flagstone","90","104","--","--","399","380","380","391","369","440","446","454","455","442","--","--","--","--","--","--","--","--","--","--","91%","89%","94%","94%","92%","80%","81%","80%","83%","84%","--","--","--","--","--","--","--","--","--","--"
"845","Flying Fish Point State School","Flying Fish Point","11","17","--","--","374","387","385","387","342","432","436","461","458","435","--","--","--","--","--","--","--","--","--","--","90%","100%","90%","90%","80%","94%","88%","94%","94%","94%","--","--","--","--","--","--","--","--","--","--"
"697","Forest Hill State School","Forest Hill","23","18","--","--","382","325","374","401","365","468","439","472","472","446","--","--","--","--","--","--","--","--","--","--","86%","85%","90%","90%","95%","88%","82%","82%","76%","88%","--","--","--","--","--","--","--","--","--","--"
"1726","Forest Lake State High School","Forest Lake","--","--","233","269","--","--","--","--","--","--","--","--","--","--","529","505","544","527","526","566","549","586","568","578","--","--","--","--","--","--","--","--","--","--","98%","88%","96%","91%","98%","93%","86%","93%","92%","97%"
"1998","Forest Lake State School","Forest Lake","110","122","--","--","432","405","415","442","393","509","478","500","501","484","--","--","--","--","--","--","--","--","--","--","96%","93%","95%","94%","93%","98%","93%","96%","96%","96%","--","--","--","--","--","--","--","--","--","--"
"1897","Forrest Beach State School","Allingham","8","5","--","--","393","442","418","433","394","502","475","507","509","533","--","--","--","--","--","--","--","--","--","--","100%","88%","88%","88%","88%","100%","80%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
"523","Forsayth State School","Forsayth","1","1","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"5","Fraser Coast Anglican College","Hervey Bay","56","58","50","63","445","413","411","459","417","546","512","532","566","521","567","532","567","573","562","628","568","608","600","623","100%","98%","96%","96%","94%","98%","96%","100%","100%","100%","100%","94%","100%","98%","100%","98%","93%","96%","96%","100%"
"40","Freestone State School","Freestone Via Warwick","2","1","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--"
"940","Frenchville State School","North Rockhampton","141","121","--","--","461","447","437","505","432","527","514","514","550","519","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","100%","99%","99%","99%","100%","--","--","--","--","--","--","--","--","--","--"
"5887","Freshwater Christian College","Brinsmead","46","42","42","39","430","392","403","431","419","493","471","500","499","502","558","515","553","542","535","590","550","615","581","603","100%","100%","100%","100%","100%","97%","97%","100%","100%","97%","100%","97%","95%","97%","100%","95%","85%","95%","97%","100%"
"1812","Freshwater State School","Freshwater","115","96","--","--","465","436","431","498","430","515","503","515","530","507","--","--","--","--","--","--","--","--","--","--","96%","95%","97%","98%","97%","98%","97%","98%","95%","99%","--","--","--","--","--","--","--","--","--","--"
"84","Gabbinbar State School","Toowoomba","54","59","--","--","414","404","386","419","394","505","444","481","502","492","--","--","--","--","--","--","--","--","--","--","88%","92%","92%","90%","92%","94%","85%","92%","94%","96%","--","--","--","--","--","--","--","--","--","--"
"1434","Garbutt State School","Garbutt","20","20","--","--","292","282","326","296","298","397","342","426","366","408","--","--","--","--","--","--","--","--","--","--","63%","61%","72%","61%","58%","68%","37%","79%","63%","84%","--","--","--","--","--","--","--","--","--","--"
"1460","Gargett State School","Gargett","2","2","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--","^","^","^","^","^","^","^","^","^","^","--","--","--","--","--","--","--","--","--","--"
"41","Gatton State School","Gatton","64","86","--","--","381","364","358","359","363","457","423","444","437","455","--","--","--","--","--","--","--","--","--","--","83%","84%","82%","79%","87%","84%","69%","77%","70%","85%","--","--","--","--","--","--","--","--","--","--"
"1752","Gaven State School","Oxenford","101","63","--","--","417","403","399","436","395","493","469","489","498","505","--","--","--","--","--","--","--","--","--","--","97%","97%","97%","98%","96%","98%","93%","95%","95%","98%","--","--","--","--","--","--","--","--","--","--"
"42","Gayndah State School","Gayndah","21","24","--","--","455","425","434","478","461","474","482","477","495","491","--","--","--","--","--","--","--","--","--","--","100%","100%","100%","100%","100%","89%","88%","95%","95%","100%","--","--","--","--","--","--","--","--","--","--"
"3077","Geebung Special School","Geebung","9","14","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--","*","*","*","*","*","*","*","*","*","*","--","--","--","--","--","--","--","--","--","--"
"1257","Geebung State School","Geebung","45","44","--","--","447","422","415","461","405","520","499","503","529","495","--","--","--","--","--","--","--","--","--","--","95%","98%","93%","98%","95%","95%","95%","98%","95%","95%","--","--","--","--","--","--","--","--","--","--"
"54","Geham State School","Cabarlah","22","17","--","--","430","406","383","445","399","510","460","480","535","509","--","--","--","--","--","--","--","--","--","--","100%","100%","95%","95%","100%","100%","88%","94%","88%","100%","--","--","--","--","--","--","--","--","--","--"
"5592","Genesis Christian College","Bray Park","104","116","142","115","436","424","421","450","412","518","492","506","529","498","571","551","569","589","569","606","593","604","602","615","99%","97%","96%","97%","100%","97%","97%","96%","97%","98%","97%","95%","97%","96%","97%","97%","91%","96%","97%","99%"
"178","Georgetown State School","Georgetown","6","5","--","--","374","410","349","391","331","491","510","483","535","510","--","--","--","--","--","--","--","--","--","--","100%","100%","83%","100%","83%","100%","100%","100%","100%","100%","--","--","--","--","--","--","--","--","--","--"
