loan_id,certificate_number,origination_date,settlement_date,vintage_year,lender,lender_channel,state,suburb,postcode,property_type,borrower_type,employment_type,lvr,lvr_band,property_value,loan_amount,insured_amount,premium_amount,loan_status
LMI10542,CERT-2020-00542,2020-03-28,2020-04-25,2020,NAB,Bank Branch,WA,Cannington,6065,House,Investor,PAYG,94.06,90-95%,841000,791000,791000,16600,Active
LMI10543,CERT-2022-00543,2022-02-04,2022-03-02,2022,ANZ,Bank Branch,WA,Albany,6160,House,First Home Buyer,PAYG,87.52,85-90%,690000,603900,603900,8450,Active
LMI10544,CERT-2023-00544,2023-05-22,2023-06-22,2023,ANZ,Bank Branch,VIC,Footscray,3350,House,Owner Occupier,Contract,82.66,80-85%,718000,593500,593500,5350,Active
LMI10545,CERT-2024-00545,2024-04-06,2024-05-10,2024,NAB,Mortgage Broker,QLD,Gold Coast,4069,House,Investor,Self-Employed,95.25,95%+,649000,618200,618200,18550,Active
LMI10546,CERT-2021-00546,2021-07-08,2021-08-11,2021,AMP Bank,Bank Branch,NSW,Sydney CBD,2750,Apartment,Refinancer,Contract,87.16,85-90%,726000,632800,632800,8850,Active
LMI10547,CERT-2022-00547,2022-07-04,2022-07-24,2022,Macquarie,Online / Direct,NSW,Maitland,2000,Apartment,First Home Buyer,PAYG,85.41,85-90%,750000,640600,640600,8950,Active
LMI10548,CERT-2021-00548,2021-11-30,2021-12-29,2021,Westpac,Bank Branch,SA,Morphett Vale,5006,Townhouse,Investor,PAYG,94.13,90-95%,699000,658000,658000,13800,Closed
LMI10549,CERT-2019-00549,2019-05-07,2019-06-18,2019,Commonwealth Bank,Bank Branch,WA,Baldivis,6003,Apartment,Owner Occupier,PAYG,93.93,90-95%,406000,381400,381400,8000,Active
LMI10550,CERT-2022-00550,2022-07-01,2022-07-15,2022,ANZ,Mortgage Broker,VIC,Craigieburn,3121,Townhouse,Investor,PAYG,93.96,90-95%,906000,851300,851300,17900,Active
LMI10551,CERT-2022-00551,2022-05-03,2022-05-21,2022,NAB,Bank Branch,NSW,Blacktown,2750,House,Owner Occupier,PAYG,80.6,80-85%,1360000,1096200,1096200,9850,Active
LMI10552,CERT-2020-00552,2020-09-30,2020-11-10,2020,Macquarie,Bank Branch,NSW,Gosford,2750,House,First Home Buyer,PAYG,90.4,90-95%,1274000,1151700,1151700,24200,Active
LMI10553,CERT-2019-00553,2019-04-28,2019-05-27,2019,Commonwealth Bank,Bank Branch,NSW,Campbelltown,2150,Townhouse,Investor,PAYG,88.42,85-90%,1268000,1121200,1121200,15700,Closed
LMI10554,CERT-2022-00554,2022-05-13,2022-06-17,2022,Westpac,Bank Branch,QLD,Rockhampton,4101,House,Investor,Contract,94.91,90-95%,872000,827600,827600,17400,Active
LMI10555,CERT-2022-00555,2022-11-20,2022-12-18,2022,NAB,Mortgage Broker,VIC,St Kilda,3145,Apartment,First Home Buyer,PAYG,96.95,95%+,916000,888100,888100,26650,In Arrears
LMI10556,CERT-2021-00556,2021-01-02,2021-01-17,2021,Bank of Queensland,Mortgage Broker,WA,Albany,6160,Townhouse,First Home Buyer,PAYG,65.15,≤80%,641000,417600,417600,2100,Active
LMI10557,CERT-2023-00557,2023-10-02,2023-10-31,2023,Macquarie,Bank Branch,NSW,Sydney CBD,2010,Apartment,Investor,PAYG,85.95,85-90%,913000,784700,784700,11000,Claim Paid
LMI10558,CERT-2021-00558,2021-02-01,2021-02-25,2021,Commonwealth Bank,Bank Branch,NSW,Bondi,2150,Townhouse,Investor,PAYG,86.91,85-90%,1736000,1508800,1508800,21100,Closed
LMI10559,CERT-2024-00559,2024-06-23,2024-07-22,2024,Bendigo Bank,Bank Branch,VIC,Geelong,3175,House,First Home Buyer,PAYG,88.04,85-90%,1243000,1094300,1094300,15300,Active
LMI10560,CERT-2022-00560,2022-04-11,2022-05-26,2022,ANZ,Bank Branch,NSW,Chatswood,2170,House,Investor,Self-Employed,82.59,80-85%,946000,781300,781300,7050,Active
LMI10561,CERT-2022-00561,2022-12-30,2023-02-05,2022,Westpac,Mortgage Broker,VIC,Box Hill,3145,Townhouse,Owner Occupier,PAYG,85.98,85-90%,958000,823700,823700,11550,Active
LMI10562,CERT-2021-00562,2021-03-21,2021-04-17,2021,ANZ,Bank Branch,NSW,Penrith,2100,House,Owner Occupier,PAYG,84.33,80-85%,1050000,885500,885500,7950,Closed
LMI10563,CERT-2021-00563,2021-05-22,2021-07-03,2021,Westpac,Bank Branch,VIC,Ballarat,3070,House,Owner Occupier,PAYG,88.14,85-90%,917000,808200,808200,11300,Closed
LMI10564,CERT-2022-00564,2022-08-11,2022-08-30,2022,Commonwealth Bank,Bank Branch,NSW,Parramatta,2010,House,First Home Buyer,PAYG,92.61,90-95%,1569000,1453100,1453100,30500,Active
LMI10565,CERT-2020-00565,2020-07-16,2020-08-11,2020,ANZ,Bank Branch,NSW,Bondi,2500,Apartment,First Home Buyer,PAYG,93.45,90-95%,1482000,1384900,1384900,29100,Closed
LMI10566,CERT-2023-00566,2023-04-01,2023-04-15,2023,Bendigo Bank,Bank Branch,NT,Alice Springs,0880,Apartment,First Home Buyer,PAYG,97.48,95%+,452000,440600,440600,13200,Active
LMI10567,CERT-2023-00567,2023-07-26,2023-09-07,2023,Macquarie,Mortgage Broker,VIC,Ringwood,3011,House,Owner Occupier,PAYG,87.4,85-90%,825000,721000,721000,10100,In Arrears
LMI10568,CERT-2024-00568,2024-04-15,2024-04-29,2024,Commonwealth Bank,Mortgage Broker,VIC,Bendigo,3070,Apartment,Investor,PAYG,85.73,85-90%,940000,805900,805900,11300,Active
LMI10569,CERT-2019-00569,2019-03-07,2019-03-29,2019,Bank of Queensland,Mortgage Broker,NSW,Maitland,2300,House,Owner Occupier,Contract,87.88,85-90%,886000,778600,778600,10900,Active
LMI10570,CERT-2020-00570,2020-11-04,2020-12-16,2020,Commonwealth Bank,Mortgage Broker,NSW,Gosford,2300,Apartment,First Home Buyer,PAYG,87.43,85-90%,1410000,1232800,1232800,17250,Active
LMI10571,CERT-2020-00571,2020-08-19,2020-09-06,2020,Westpac,Online / Direct,SA,Gawler,5046,House,Owner Occupier,Self-Employed,86.11,85-90%,518000,446000,446000,6250,Active
LMI10572,CERT-2023-00572,2023-11-18,2023-12-15,2023,Commonwealth Bank,Mortgage Broker,VIC,Box Hill,3220,House,First Home Buyer,Self-Employed,95.7,95%+,803000,768500,768500,23050,Active
LMI10573,CERT-2021-00573,2021-07-01,2021-07-19,2021,Bendigo Bank,Mortgage Broker,VIC,Craigieburn,3070,House,Investor,PAYG,84.96,80-85%,1174000,997400,997400,9000,Active
LMI10574,CERT-2022-00574,2022-12-28,2023-01-30,2022,Commonwealth Bank,Online / Direct,WA,Bunbury,6005,Apartment,Owner Occupier,Contract,88.53,85-90%,564000,499300,499300,7000,Active
LMI10575,CERT-2024-00575,2024-04-20,2024-05-06,2024,ANZ,Mortgage Broker,NSW,Chatswood,2090,House,Owner Occupier,Contract,87.03,85-90%,979000,852000,852000,11950,Active
LMI10576,CERT-2019-00576,2019-09-06,2019-10-13,2019,ANZ,Bank Branch,SA,Gawler,5046,House,Owner Occupier,PAYG,88.83,85-90%,378000,335800,335800,4700,Closed
LMI10577,CERT-2023-00577,2023-03-08,2023-04-16,2023,Commonwealth Bank,Online / Direct,QLD,Cairns,4000,House,Investor,PAYG,91.97,90-95%,874000,803800,803800,16900,Active
LMI10578,CERT-2024-00578,2024-04-29,2024-06-10,2024,Macquarie,Mortgage Broker,NSW,Blacktown,2020,House,First Home Buyer,Self-Employed,86.29,85-90%,871000,751600,751600,10500,Active
LMI10579,CERT-2020-00579,2020-07-13,2020-08-05,2020,Commonwealth Bank,Mortgage Broker,NSW,Gosford,2300,Apartment,Investor,PAYG,90.15,90-95%,1196000,1078200,1078200,22650,Closed
LMI10580,CERT-2020-00580,2020-09-23,2020-11-04,2020,Westpac,Bank Branch,QLD,Townsville,4051,House,Owner Occupier,Contract,92.01,90-95%,448000,412200,412200,8650,Claim Paid
LMI10581,CERT-2020-00581,2020-03-27,2020-04-16,2020,Westpac,Bank Branch,NSW,Sydney CBD,2020,House,Owner Occupier,PAYG,83.38,80-85%,1581000,1318200,1318200,11850,Active
LMI10582,CERT-2019-00582,2019-09-05,2019-10-03,2019,Westpac,Mortgage Broker,NSW,Chatswood,2150,House,First Home Buyer,Self-Employed,89.7,85-90%,951000,853000,853000,11950,Active
LMI10583,CERT-2020-00583,2020-03-23,2020-05-02,2020,ANZ,Online / Direct,QLD,Redcliffe,4005,Apartment,First Home Buyer,Contract,85.43,85-90%,580000,495500,495500,6950,Closed
LMI10584,CERT-2022-00584,2022-10-20,2022-11-11,2022,Suncorp,Mortgage Broker,VIC,Bendigo,3350,House,First Home Buyer,Contract,97.12,95%+,819000,795400,795400,23850,Active
LMI10585,CERT-2021-00585,2021-10-28,2021-11-11,2021,NAB,Mortgage Broker,VIC,Geelong,3055,Apartment,First Home Buyer,PAYG,88.73,85-90%,747000,662800,662800,9300,Closed
LMI10586,CERT-2019-00586,2019-03-19,2019-04-17,2019,Commonwealth Bank,Bank Branch,NSW,Campbelltown,2500,Apartment,First Home Buyer,Self-Employed,81.1,80-85%,1717000,1392500,1392500,12550,Closed
LMI10587,CERT-2020-00587,2020-04-14,2020-05-19,2020,Macquarie,Mortgage Broker,VIC,Geelong,3220,House,Investor,PAYG,93.78,90-95%,827000,775600,775600,16300,Active
LMI10588,CERT-2021-00588,2021-10-03,2021-10-21,2021,Commonwealth Bank,Bank Branch,NSW,Liverpool,2020,House,Investor,PAYG,90.42,90-95%,1750000,1582400,1582400,33250,In Arrears
LMI10589,CERT-2019-00589,2019-12-03,2019-12-29,2019,Westpac,Mortgage Broker,VIC,Craigieburn,3055,House,Investor,PAYG,87.39,85-90%,756000,660700,660700,9250,Active
LMI10590,CERT-2021-00590,2021-06-22,2021-08-02,2021,NAB,Mortgage Broker,TAS,Hobart,7248,House,Investor,PAYG,85.92,85-90%,462000,397000,397000,5550,Closed
LMI10591,CERT-2021-00591,2021-02-18,2021-04-02,2021,Westpac,Mortgage Broker,VIC,Dandenong,3145,House,Investor,PAYG,85.96,85-90%,800000,687700,687700,9650,Closed
LMI10592,CERT-2021-00592,2021-04-08,2021-05-18,2021,NAB,Mortgage Broker,WA,Rockingham,6065,House,First Home Buyer,Contract,91.93,90-95%,822000,755700,755700,15850,Active
LMI10593,CERT-2021-00593,2021-06-12,2021-07-12,2021,NAB,Mortgage Broker,VIC,Box Hill,3350,House,Owner Occupier,PAYG,86.05,85-90%,1135000,976700,976700,13650,Active
LMI10594,CERT-2021-00594,2021-01-10,2021-01-25,2021,Commonwealth Bank,Bank Branch,NSW,Chatswood,2170,House,Owner Occupier,PAYG,89.62,85-90%,1473000,1320100,1320100,18500,Active
LMI10595,CERT-2021-00595,2021-02-26,2021-04-06,2021,Commonwealth Bank,Mortgage Broker,NSW,Newcastle,2060,Apartment,Owner Occupier,PAYG,83.59,80-85%,1483000,1239600,1239600,11150,Active
LMI10596,CERT-2023-00596,2023-03-22,2023-04-10,2023,Westpac,Bank Branch,WA,Mandurah,6027,Apartment,Owner Occupier,PAYG,88.7,85-90%,431000,382300,382300,5350,Active
LMI10597,CERT-2023-00597,2023-05-04,2023-06-13,2023,Commonwealth Bank,Mortgage Broker,NSW,Newcastle,2500,Apartment,First Home Buyer,PAYG,85.57,85-90%,1287000,1101300,1101300,15400,Active
LMI10598,CERT-2020-00598,2020-01-16,2020-02-11,2020,Westpac,Online / Direct,SA,Gawler,5034,House,Owner Occupier,PAYG,89.09,85-90%,372000,331400,331400,4650,Closed
LMI10599,CERT-2019-00599,2019-03-02,2019-03-31,2019,NAB,Bank Branch,NSW,Penrith,2000,House,Refinancer,PAYG,80.41,80-85%,1236000,993900,993900,8950,Active
LMI10600,CERT-2024-00600,2024-05-24,2024-06-24,2024,Westpac,Mortgage Broker,VIC,Craigieburn,3070,Townhouse,Refinancer,Self-Employed,74.04,≤80%,1251000,926200,926200,4650,Active
LMI10601,CERT-2019-00601,2019-04-28,2019-06-03,2019,NAB,Online / Direct,SA,Gawler,5600,House,Owner Occupier,Self-Employed,91.95,90-95%,673000,618800,618800,13000,Active
LMI10602,CERT-2021-00602,2021-01-24,2021-03-07,2021,Commonwealth Bank,Online / Direct,NSW,Chatswood,2150,Townhouse,Investor,PAYG,94.09,90-95%,1388000,1306000,1306000,27450,Active
LMI10603,CERT-2020-00603,2020-10-28,2020-12-09,2020,Westpac,Online / Direct,VIC,Bendigo,3004,Townhouse,Refinancer,Self-Employed,77.11,≤80%,748000,576800,576800,2900,Closed
LMI10604,CERT-2020-00604,2020-02-04,2020-02-27,2020,Commonwealth Bank,Mortgage Broker,SA,Salisbury,5600,House,Investor,Contract,91.54,90-95%,672000,615100,615100,12900,Closed
LMI10605,CERT-2024-00605,2024-05-09,2024-05-30,2024,Commonwealth Bank,Online / Direct,ACT,Gungahlin,2603,Apartment,First Home Buyer,Contract,89.49,85-90%,876000,783900,783900,10950,Active
LMI10606,CERT-2021-00606,2021-02-24,2021-03-27,2021,NAB,Online / Direct,NSW,Parramatta,2300,Apartment,Owner Occupier,Self-Employed,96.05,95%+,958000,920200,920200,27600,Active
LMI10607,CERT-2024-00607,2024-03-07,2024-03-25,2024,NAB,Mortgage Broker,NSW,Bondi,2500,Apartment,Owner Occupier,Self-Employed,82.92,80-85%,1416000,1174100,1174100,10550,Active
LMI10608,CERT-2019-00608,2019-06-29,2019-07-20,2019,ANZ,Bank Branch,WA,Fremantle,6210,House,Owner Occupier,Self-Employed,80.67,80-85%,422000,340400,340400,3050,Closed
LMI10609,CERT-2021-00609,2021-03-05,2021-04-15,2021,NAB,Mortgage Broker,NSW,Gosford,2020,House,First Home Buyer,Self-Employed,86.03,85-90%,1065000,916200,916200,12850,Closed
LMI10610,CERT-2020-00610,2020-03-24,2020-05-08,2020,NAB,Online / Direct,NSW,Blacktown,2090,Apartment,First Home Buyer,PAYG,91.55,90-95%,1454000,1331100,1331100,27950,In Arrears
LMI10611,CERT-2023-00611,2023-10-03,2023-11-16,2023,ING,Bank Branch,VIC,St Kilda,3055,Apartment,First Home Buyer,Self-Employed,91.44,90-95%,1034000,945500,945500,19850,Active
LMI10612,CERT-2023-00612,2023-02-15,2023-03-04,2023,Westpac,Online / Direct,WA,Cannington,6065,Apartment,Investor,Contract,95.75,95%+,814000,779400,779400,23400,Active
LMI10613,CERT-2020-00613,2020-12-14,2021-01-22,2020,NAB,Mortgage Broker,VIC,Geelong,3350,House,First Home Buyer,Self-Employed,88.42,85-90%,862000,762200,762200,10650,Active
LMI10614,CERT-2020-00614,2020-09-14,2020-10-27,2020,Bendigo Bank,Bank Branch,WA,Rockingham,6065,Apartment,First Home Buyer,PAYG,84.68,80-85%,688000,582600,582600,5250,Active
LMI10615,CERT-2023-00615,2023-05-28,2023-06-20,2023,Bank of Queensland,Bank Branch,VIC,Frankston,3220,Townhouse,First Home Buyer,PAYG,90.6,90-95%,851000,771000,771000,16200,Active
LMI10616,CERT-2024-00616,2024-06-09,2024-07-02,2024,Commonwealth Bank,Mortgage Broker,ACT,Belconnen,2600,Apartment,Refinancer,PAYG,93.01,90-95%,952000,885500,885500,18600,Active
LMI10617,CERT-2022-00617,2022-09-10,2022-09-29,2022,Westpac,Mortgage Broker,VIC,Ringwood,3220,House,First Home Buyer,PAYG,94.0,90-95%,1140000,1071600,1071600,22500,Active
LMI10618,CERT-2019-00618,2019-02-17,2019-04-02,2019,ANZ,Mortgage Broker,VIC,Ringwood,3008,House,Owner Occupier,PAYG,92.6,90-95%,777000,719500,719500,15100,Closed
LMI10619,CERT-2020-00619,2020-01-14,2020-02-22,2020,ANZ,Mortgage Broker,NSW,Gosford,2200,House,Owner Occupier,Self-Employed,97.41,95%+,1598000,1556600,1556600,46700,Claim Paid
LMI10620,CERT-2024-00620,2024-01-13,2024-02-03,2024,ANZ,Mortgage Broker,NSW,Sydney CBD,2020,House,First Home Buyer,PAYG,94.83,90-95%,915000,867700,867700,18200,Active
LMI10621,CERT-2019-00621,2019-03-13,2019-04-01,2019,Westpac,Online / Direct,NSW,Blacktown,2200,House,First Home Buyer,Contract,89.27,85-90%,1778000,1587200,1587200,22200,Active
LMI10622,CERT-2021-00622,2021-06-30,2021-07-22,2021,ANZ,Bank Branch,VIC,Craigieburn,3070,House,Investor,PAYG,93.33,90-95%,995000,928600,928600,19500,Active
LMI10623,CERT-2024-00623,2024-05-14,2024-06-05,2024,Commonwealth Bank,Mortgage Broker,NSW,Penrith,2100,House,First Home Buyer,PAYG,89.18,85-90%,1370000,1221800,1221800,17100,Active
LMI10624,CERT-2020-00624,2020-06-04,2020-07-15,2020,Westpac,Mortgage Broker,SA,Tea Tree Gully,5290,Apartment,Owner Occupier,PAYG,85.51,85-90%,698000,596900,596900,8350,Active
LMI10625,CERT-2023-00625,2023-08-10,2023-09-02,2023,ING,Bank Branch,QLD,Brisbane CBD,4122,House,Owner Occupier,PAYG,85.9,85-90%,588000,505100,505100,7050,Active
LMI10626,CERT-2024-00626,2024-02-06,2024-03-12,2024,Commonwealth Bank,Mortgage Broker,VIC,Ballarat,3011,Townhouse,First Home Buyer,PAYG,85.54,85-90%,1140000,975200,975200,13650,Active
LMI10627,CERT-2020-00627,2020-09-19,2020-11-03,2020,Westpac,Bank Branch,SA,Salisbury,5034,House,First Home Buyer,Self-Employed,83.67,80-85%,385000,322100,322100,2900,Closed
LMI10628,CERT-2023-00628,2023-06-04,2023-07-13,2023,ANZ,Bank Branch,NSW,Chatswood,2000,House,First Home Buyer,Self-Employed,93.42,90-95%,1235000,1153700,1153700,24250,In Arrears
LMI10629,CERT-2022-00629,2022-12-19,2023-01-17,2022,Westpac,Mortgage Broker,NSW,Blacktown,2170,House,First Home Buyer,Contract,94.88,90-95%,1452000,1377700,1377700,28950,Active
LMI10630,CERT-2020-00630,2020-04-13,2020-05-16,2020,Macquarie,Online / Direct,VIC,Ringwood,3055,Apartment,First Home Buyer,PAYG,94.63,90-95%,1038000,982300,982300,20650,In Arrears
LMI10631,CERT-2020-00631,2020-08-08,2020-09-22,2020,Bank of Queensland,Bank Branch,NSW,Gosford,2300,House,Owner Occupier,PAYG,85.51,85-90%,1593000,1362200,1362200,19050,Claim Paid
LMI10632,CERT-2020-00632,2020-01-25,2020-02-08,2020,NAB,Online / Direct,VIC,St Kilda,3011,Land,Investor,PAYG,80.17,80-85%,1094000,877100,877100,7900,Closed
LMI10633,CERT-2024-00633,2024-03-20,2024-04-17,2024,Westpac,Bank Branch,NSW,Gosford,2020,House,First Home Buyer,Contract,85.93,85-90%,909000,781100,781100,10950,Active
LMI10634,CERT-2023-00634,2023-10-09,2023-10-30,2023,Commonwealth Bank,Mortgage Broker,NSW,Liverpool,2090,House,Investor,Contract,94.18,90-95%,1033000,972900,972900,20450,Active
LMI10635,CERT-2024-00635,2024-03-30,2024-05-12,2024,Commonwealth Bank,Mortgage Broker,SA,Victor Harbor,5000,House,First Home Buyer,PAYG,89.48,85-90%,680000,608500,608500,8500,Active
LMI10636,CERT-2021-00636,2021-06-01,2021-07-16,2021,Bank of Queensland,Bank Branch,QLD,Gold Coast,4122,Apartment,First Home Buyer,PAYG,85.14,85-90%,525000,447000,447000,6250,Closed
LMI10637,CERT-2022-00637,2022-01-03,2022-02-03,2022,Commonwealth Bank,Mortgage Broker,VIC,Frankston,3145,House,Investor,Self-Employed,89.47,85-90%,658000,588700,588700,8250,Active
LMI10638,CERT-2021-00638,2021-05-12,2021-06-16,2021,Suncorp,Bank Branch,NSW,Chatswood,2170,House,Owner Occupier,PAYG,85.76,85-90%,1693000,1451900,1451900,20350,Active
LMI10639,CERT-2021-00639,2021-03-29,2021-05-06,2021,Westpac,Bank Branch,NSW,Blacktown,2020,Apartment,First Home Buyer,Self-Employed,93.92,90-95%,862000,809600,809600,17000,Closed
LMI10640,CERT-2021-00640,2021-09-10,2021-10-12,2021,ANZ,Mortgage Broker,VIC,Geelong,3121,House,First Home Buyer,PAYG,85.14,85-90%,783000,666600,666600,9350,In Arrears
LMI10641,CERT-2021-00641,2021-05-28,2021-06-23,2021,ANZ,Bank Branch,NSW,Gosford,2500,Apartment,Owner Occupier,PAYG,93.37,90-95%,1232000,1150300,1150300,24150,Active
LMI10642,CERT-2020-00642,2020-01-29,2020-02-21,2020,Westpac,Bank Branch,NSW,Newcastle,2000,Apartment,First Home Buyer,PAYG,86.44,85-90%,1180000,1020000,1020000,14300,Active
LMI10643,CERT-2020-00643,2020-09-15,2020-10-06,2020,Westpac,Bank Branch,VIC,Geelong,3121,House,First Home Buyer,Self-Employed,88.25,85-90%,774000,683100,683100,9550,Active
LMI10644,CERT-2019-00644,2019-07-26,2019-09-05,2019,Commonwealth Bank,Bank Branch,NSW,Parramatta,2090,House,Investor,PAYG,89.55,85-90%,920000,823900,823900,11550,Active
LMI10645,CERT-2021-00645,2021-12-19,2022-01-25,2021,Commonwealth Bank,Bank Branch,QLD,Ipswich,4217,Apartment,Owner Occupier,PAYG,88.92,85-90%,546000,485500,485500,6800,Active
LMI10646,CERT-2020-00646,2020-01-31,2020-03-13,2020,Westpac,Mortgage Broker,TAS,Ulverstone,7250,Land,First Home Buyer,Self-Employed,94.11,90-95%,596000,560900,560900,11800,In Arrears
LMI10647,CERT-2020-00647,2020-06-01,2020-07-07,2020,ANZ,Mortgage Broker,NSW,Parramatta,2150,Townhouse,Investor,PAYG,82.8,80-85%,1687000,1396800,1396800,12550,Closed
LMI10648,CERT-2024-00648,2024-05-11,2024-05-28,2024,ANZ,Mortgage Broker,NSW,Newcastle,2500,House,First Home Buyer,PAYG,95.94,95%+,1578000,1513900,1513900,45400,Active
LMI10649,CERT-2022-00649,2022-05-28,2022-06-28,2022,Commonwealth Bank,Online / Direct,VIC,St Kilda,3175,House,Owner Occupier,Self-Employed,87.01,85-90%,729000,634300,634300,8900,Claim Paid
LMI10650,CERT-2020-00650,2020-07-03,2020-07-24,2020,Commonwealth Bank,Bank Branch,NSW,Penrith,2060,Townhouse,Investor,PAYG,91.55,90-95%,905000,828500,828500,17400,In Arrears
LMI10651,CERT-2023-00651,2023-08-14,2023-09-10,2023,Westpac,Online / Direct,QLD,Logan,4217,Townhouse,First Home Buyer,PAYG,91.32,90-95%,703000,642000,642000,13500,Default
LMI10652,CERT-2022-00652,2022-07-05,2022-07-19,2022,Westpac,Bank Branch,WA,Mandurah,6018,Apartment,Investor,Contract,89.93,85-90%,767000,689800,689800,9650,Active
LMI10653,CERT-2024-00653,2024-04-20,2024-05-20,2024,Macquarie,Bank Branch,VIC,Geelong,3168,House,Owner Occupier,Self-Employed,93.47,90-95%,1206000,1127200,1127200,23650,Active
LMI10654,CERT-2023-00654,2023-01-27,2023-03-09,2023,Commonwealth Bank,Bank Branch,QLD,Toowoomba,4005,Apartment,First Home Buyer,PAYG,81.24,80-85%,615000,499600,499600,4500,Active
LMI10655,CERT-2019-00655,2019-11-30,2019-12-25,2019,Westpac,Mortgage Broker,QLD,Gold Coast,4010,Apartment,Owner Occupier,Self-Employed,90.2,90-95%,853000,769400,769400,16150,Active
LMI10656,CERT-2019-00656,2019-07-24,2019-08-31,2019,Bank of Queensland,Bank Branch,NSW,Chatswood,2000,Apartment,First Home Buyer,Contract,90.16,90-95%,1135000,1023300,1023300,21500,In Arrears
LMI10657,CERT-2023-00657,2023-06-10,2023-06-30,2023,Commonwealth Bank,Mortgage Broker,VIC,Dandenong,3350,House,Owner Occupier,PAYG,90.15,90-95%,971000,875400,875400,18400,Active
LMI10658,CERT-2022-00658,2022-11-18,2022-12-19,2022,ANZ,Bank Branch,NSW,Parramatta,2000,Townhouse,Owner Occupier,PAYG,80.37,80-85%,1398000,1123600,1123600,10100,Active
LMI10659,CERT-2020-00659,2020-12-24,2021-01-25,2020,ANZ,Online / Direct,NSW,Parramatta,2500,House,Refinancer,PAYG,81.99,80-85%,964000,790400,790400,7100,Active
LMI10660,CERT-2024-00660,2024-03-08,2024-03-27,2024,ANZ,Mortgage Broker,NSW,Newcastle,2020,Apartment,First Home Buyer,PAYG,86.87,85-90%,1687000,1465500,1465500,20500,Active
LMI10661,CERT-2019-00661,2019-08-01,2019-09-01,2019,Macquarie,Online / Direct,NSW,Parramatta,2500,Townhouse,Investor,PAYG,91.81,90-95%,1710000,1570000,1570000,32950,Closed
LMI10662,CERT-2024-00662,2024-06-22,2024-08-05,2024,Westpac,Bank Branch,NSW,Bondi,2150,Land,First Home Buyer,PAYG,89.0,85-90%,1600000,1424000,1424000,19950,Active
LMI10663,CERT-2021-00663,2021-04-27,2021-06-01,2021,ANZ,Mortgage Broker,NSW,Newcastle,2150,House,Owner Occupier,PAYG,88.5,85-90%,869000,769100,769100,10750,Closed
LMI10664,CERT-2023-00664,2023-05-10,2023-06-07,2023,AMP Bank,Bank Branch,NSW,Liverpool,2000,House,Refinancer,Contract,92.68,90-95%,1479000,1370700,1370700,28800,Active
LMI10665,CERT-2023-00665,2023-11-11,2023-12-03,2023,Commonwealth Bank,Mortgage Broker,NSW,Newcastle,2200,House,First Home Buyer,Contract,89.26,85-90%,1038000,926500,926500,12950,Active
LMI10666,CERT-2024-00666,2024-05-30,2024-07-10,2024,Commonwealth Bank,Online / Direct,QLD,Rockhampton,4350,Apartment,First Home Buyer,PAYG,85.23,85-90%,617000,525900,525900,7350,Active
LMI10667,CERT-2023-00667,2023-07-25,2023-09-03,2023,NAB,Mortgage Broker,NSW,Blacktown,2500,House,Owner Occupier,PAYG,82.89,80-85%,882000,731100,731100,6600,Active
LMI10668,CERT-2019-00668,2019-11-16,2019-12-03,2019,Commonwealth Bank,Online / Direct,QLD,Sunshine Coast,4207,Apartment,Investor,PAYG,91.51,90-95%,887000,811700,811700,17050,Claim Paid
LMI10669,CERT-2022-00669,2022-12-23,2023-01-20,2022,Westpac,Online / Direct,WA,Kalgoorlie,6003,Apartment,Owner Occupier,PAYG,96.56,95%+,579000,559100,559100,16750,In Arrears
LMI10670,CERT-2022-00670,2022-05-24,2022-06-11,2022,NAB,Mortgage Broker,VIC,Footscray,3070,House,Investor,PAYG,94.88,90-95%,1168000,1108200,1108200,23250,Active
LMI10671,CERT-2022-00671,2022-05-20,2022-06-24,2022,Commonwealth Bank,Mortgage Broker,NSW,Parramatta,2200,Apartment,First Home Buyer,PAYG,80.48,80-85%,750000,603600,603600,5450,Active
LMI10672,CERT-2024-00672,2024-06-23,2024-07-09,2024,Westpac,Online / Direct,QLD,Brisbane CBD,4000,House,First Home Buyer,PAYG,69.04,≤80%,719000,496400,496400,2500,Active
LMI10673,CERT-2023-00673,2023-01-26,2023-03-03,2023,Westpac,Mortgage Broker,VIC,Bendigo,3004,House,Investor,PAYG,83.78,80-85%,1281000,1073200,1073200,9650,Active
LMI10674,CERT-2023-00674,2023-10-11,2023-10-27,2023,Bendigo Bank,Bank Branch,VIC,Dandenong,3145,Apartment,Investor,Self-Employed,87.97,85-90%,789000,694100,694100,9700,Active
LMI10675,CERT-2024-00675,2024-05-27,2024-07-01,2024,NAB,Online / Direct,QLD,Logan,4069,House,Owner Occupier,PAYG,90.89,90-95%,657000,597100,597100,12550,In Arrears
LMI10676,CERT-2024-00676,2024-05-16,2024-06-08,2024,Commonwealth Bank,Online / Direct,NSW,Sydney CBD,2010,House,Refinancer,Self-Employed,96.86,95%+,1332000,1290200,1290200,38700,Active
LMI10677,CERT-2024-00677,2024-03-27,2024-04-28,2024,Commonwealth Bank,Bank Branch,NSW,Campbelltown,2100,Apartment,First Home Buyer,PAYG,81.64,80-85%,894000,729900,729900,6550,Active
LMI10678,CERT-2019-00678,2019-10-15,2019-11-05,2019,Westpac,Mortgage Broker,NSW,Newcastle,2090,Apartment,Owner Occupier,PAYG,93.29,90-95%,1769000,1650300,1650300,34650,Active
